Comment,Designator,Footprint,LCSC
0,R12,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C100044
R_Potentiometer_Trim,RV1,Potentiometer_Bourns_3266W_Vertical,C124980
1uF,C4,C_0402_1005Metric,C126521
TLV2782IDGKR,U3,VSSOP-8_3.0x3.0mm_P0.65mm,C128425
1M,"R3,R4",R_0402_1005Metric,C138033
ADR391,U4,TSOT-23-5_HandSoldering,C141376
100nF,"C6,C7,C8,C9",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C14663
100nF,"C1,C2,C3,C5",C_0402_1005Metric,C1525
AD8628,U6,TSOT-23-5,C207504
100K,"R5,R6",R_0402_1005Metric,C25741
10K,"R1,R2",R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C25804
MMCX-KE-STM,J3,MMCX-SMD_KH-MMCX-KE-STM,C2898970
MCP3421A0T-ECH,U2,SOT-23-6_Handsoldering,C29454
12.7M,"R10,R9",R_0805_2012Metric,C316205
Conn_01x04,"J1,J2",JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C371571
INA826,U5,SOIC-8_3.9x4.9mm_P1.27mm,C38433
FM24C64C,U1,SOIC-8_3.9x4.9mm_P1.27mm,C66021
10K,"R11,R7,R8",R_0805_2012Metric,C706400
MMZ2012Y202B ,L1,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C76811
