Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,123.45,-96.15,90.0,top
C2,100nF,C_0402_1005Metric,112.65,-90.05,-90.0,top
C3,100nF,C_0402_1005Metric,112.65,-92.135,-90.0,top
C4,1uF,C_0402_1005Metric,114.05,-91.075,-90.0,top
C5,100nF,C_0402_1005Metric,124.65,-88.35,0.0,top
C6,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,117.35,-97.35,180.0,top
C7,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,134.75,-80.55,180.0,top
C8,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,118.25,-87.95,0.0,top
C9,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,114.85,-80.45,0.0,top
J1,Conn_01x04,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,103.25,-90.55,270.0,top
J2,JST_SH_Conn_01x04_i2c_horizontal,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,135.75,-90.5,90.0,top
J3,MMCX-KE-STM,MMCX-SMD_KH-MMCX-KE-STM,108.85,-98.75,-90.0,top
L1,MMZ2012Y202B ,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,121.635,-98.45,180.0,top
R1,10K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,132.05,-96.5,90.0,top
R2,10K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,130.4,-96.5,90.0,top
R3,100K,R_0402_1005Metric,110.765,-90.55,180.0,top
R4,100K,R_0402_1005Metric,110.75,-91.65,180.0,top
R5,10K,R_0805_2012Metric,129.55,-88.65,180.0,top
R6,10K,R_0805_2012Metric,131.05,-81.15,0.0,top
R7,125K,R_0805_2012Metric,114.25,-86.35,180.0,top
R8,12.7M,R_0805_2012Metric,108.05,-83.25,-90.0,top
R9,10K,R_0805_2012Metric,109.75,-94.95,180.0,top
R10,0,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,109.35,-85.75,180.0,top
RV1,R_Potentiometer_Trim,Potentiometer_Bourns_3266W_Vertical,127.75,-86.35,-90.0,top
U1,FM24C64C,SOIC-8_3.9x4.9mm_P1.27mm,126.85,-98.05,0.0,top
U2,MCP3421A0T-ECH,SOT-23-6_Handsoldering,122.55,-91.65,270.0,top
U3,TLV2782IDGKR,VSSOP-8_3.0x3.0mm_P0.65mm,117.25,-92.95,180.0,top
U4,REF3225AMDBVREP,SOT-23-6,131.35,-84.1875,0.0,top
U5,INA826,SOIC-8_3.9x4.9mm_P1.27mm,120.15,-84.25,90.0,top
U6,AD8628,TSOT-23-5,114.25,-83.15,270.0,top
